"Party" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"Stump" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Stupak" "(D)" "+" NA NA "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+"
"Sununu" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Sweeney" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "-" "-"
"Tancredo" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Tanner" "(D)" "-" "-" "+" "+" "+" "-" NA "+" "+" "+" "+" "-" "-" "+" "+" "-" "+" "+" "+" "-"
"Tauscher" "(D)" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Tauzin" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Taylor" "(D)" "-" "-" "+" "-" "+" "-" "+" "+" "+" "-" "-" "+" "-" "+" "+" "-" "-" "+" "+" "+"
"Taylor1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Terry" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Thomas" "(R)" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-"
"Thompson" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Thompson1" "(D)" "+" "+" "+" "+" "-" "+" "+" "+" "+" "-" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+"
"Thornberry" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Thune" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-"
"Thurman" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Tiahrt" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Tiberi" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Tierney" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Toomey" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Towns" "(D)" "+" "+" "+" "+" "-" "+" "+" NA "+" "-" "+" "+" "-" "+" "+" NA NA NA "+" "+"
"Traficant" "(D)" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Turner" "(D)" "-" "-" "+" "+" "+" "-" "+" "-" "+" "-" "-" "-" "-" "+" "+" "+" "+" "+" "+" "+"
"Udall" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Udall1" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Upton" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Velazquez" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA NA "+" "+" "+"
"Visclosky" "(D)" "+" "+" "+" "-" "+" "+" NA "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+"
"Vitter" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Walden" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-"
"Walsh" "(R)" "-" "-" "-" "-" "-" "-" "-" NA "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "+"
"Wamp" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "+" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Waters" "(D)" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Watkins" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Watson" "(D)" NA NA NA NA NA NA NA NA "+" "+" "+" "+" "+" "+" "+" NA NA "+" "+" "+"
"Watt" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Watts" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Waxman" "(D)" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Weiner" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Weldon" "(R)" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+"
"Weldon1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Weller" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Wexler" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Whitfield" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Wicker" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Wilson" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Wolf" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Woolsey" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Wu" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Wynn" "(D)" "+" "+" "+" "+" "+" "+" "+" NA "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Young" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Young1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" NA
